year,m,pilgrims,women,%,men,%,<30,%,30-60,%,>60,%,frances,%,port.,%,norte,%,prim.,%,ingles,%,plata,%,finis.,%,Spain,%,Italy,%,Germany,%,US,%,Portugal,%,France,%,UK,%,Ireland,%,Canada,%,Holland,%,Korea,%,Brazil,%,Austria,%,Poland,%,Belgium,%,Australia,%,Japan,%,Swiss,%,Mexico,%,Argentina,%,Denmark,%,China,%,Finland,%,Czech,%,Hungary,%,Venezuela,%
2015,all,262459,123530,47.1,138929,52.9,74691,28.5,144031,54.9,43737,16.7,172206,65.6,43137,16.4,15826,6.0,11471,4.4,9247,3.5,9221,3.5,758,0.3,122387,46.6,22148,8.4,18869,7.2,13669,5.2,12481,4.8,9912,3.8,5417,2.1,5367,2.0,4199,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,all,237886,109386,46.0,128500,54.0,67348,28.3,131764,55.4,38774,16.3,161994,68.1,35491,14.9,15071,6.3,8275,3.5,7194,3.0,8490,3.6,652,0.3,113624,47.8,20241,8.5,16345,6.9,11577,4.9,11655,4.9,9345,3.9,4395,1.8,5020,2.1,0,0.0,0,0.0,3840,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,all,215880,98007,45.4,117873,54.6,61114,28.3,121305,56.2,33461,15.5,151761,70.3,29550,13.7,13393,6.2,6854,3.2,4404,2.0,9016,4.2,454,0.2,105891,49.1,15621,7.2,16203,7.5,10125,4.7,10698,5.0,8305,3.8,4207,1.9,5012,2.3,3373,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,all,192488,83678,43.5,108810,56.5,54731,28.4,109309,56.8,28448,14.8,134978,70.1,25628,13.3,12920,6.7,6349,3.3,3577,1.9,8163,4.2,417,0.2,95274,49.5,12404,6.4,15621,8.1,7071,3.7,10329,5.4,8121,4.2,3758,2.0,3844,2.0,0,0.0,3015,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,all,183366,77534,42.3,105832,57.7,52142,28.4,105736,57.7,25488,13.9,132652,72.3,22062,12.0,11729,6.4,5544,3.0,2720,1.5,8061,4.4,202,0.1,98985,54.0,12023,6.6,16385,8.9,3670,2.0,8559,4.7,8047,4.4,2351,1.3,2641,1.4,0,0.0,2375,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,all,272412,120756,44.3,151656,55.7,79918,29.3,158464,58.2,34030,12.5,189271,69.5,34251,12.6,17929,6.6,7727,2.8,6464,2.4,14251,5.2,1797,0.7,189908,69.7,13963,5.1,14241,5.2,3241,1.2,7668,2.8,8961,3.3,0,0.0,2254,0.8,0,0.0,2046,0.8,0,0.0,2072,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,all,145878,59934,41.1,85944,58.9,44418,30.4,82908,56.8,18552,12.7,113004,77.5,11952,8.2,8988,6.2,3391,2.3,1792,1.2,6254,4.3,76,0.1,78902,54.1,10340,7.1,14789,10.1,2540,1.7,4855,3.3,7459,5.1,0,0.0,0,0.0,2194,1.5,1916,1.3,0,0.0,0,0.0,1995,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,all,125141,52205,41.7,72936,58.3,36626,29.3,71451,57.1,17064,13.6,98729,78.9,9770,7.8,6964,5.6,2719,2.2,1451,1.2,5104,4.1,104,0.1,60992,48.7,10707,8.6,15746,12.6,2214,1.8,4341,3.5,6618,5.3,0,0.0,0,0.0,1933,1.5,1864,1.5,0,0.0,0,0.0,1847,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,all,114026,47246,41.4,66780,58.6,34561,30.3,64569,56.6,14896,13.1,91872,80.6,8110,7.1,5817,5.1,2569,2.3,1085,1.0,4193,3.7,179,0.2,55326,48.5,10275,9.0,13837,12.1,2229,2.0,4001,3.5,6982,6.1,1696,1.5,0,0.0,1850,1.6,0,0.0,0,0.0,0,0.0,1686,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,all,100377,40961,40.8,59416,59.2,32706,32.6,55791,55.6,11880,11.8,82407,82.1,6466,6.4,5259,5.2,1588,1.6,804,0.8,3523,3.5,115,0.1,52211,52.0,10013,10.0,8097,8.1,1909,1.9,3365,3.4,6791,6.8,1541,1.5,0,0.0,1546,1.5,1633,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,all,93924,38218,40.7,55706,59.3,30217,32.2,53294,56.7,10413,11.1,79396,84.5,5507,5.9,3843,4.1,1028,1.1,651,0.7,3140,3.3,107,0.1,52881,56.3,7429,7.9,7155,7.6,2047,2.2,2572,2.7,5909,6.3,1512,1.6,0,0.0,0,0.0,1610,1.7,0,0.0,0,0.0,1470,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,all,179944,79513,44.2,100431,55.8,66783,37.1,98600,54.8,14561,8.1,138646,77.0,15838,8.8,7117,4.0,4876,2.7,3092,1.7,9309,5.2,280,0.2,137502,76.4,7638,4.2,6791,3.8,2016,1.1,3241,1.8,6527,3.6,1416,0.8,0,0.0,0,0.0,1388,0.8,0,0.0,1433,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,,,,
2016,1,1304,411,31.5,893,68.5,419,32.1,802,61.5,83,6.4,862,66.1,217,16.6,45,3.5,66,5.1,60,4.6,43,3.3,8,0.6,579,44.4,86,6.6,60,4.6,50,3.8,69,5.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,170,13.0,44,3.4,0,0.0,19,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,1.5,0,0.0,0,0.0,0,0.0,0,0.0
2015,1,1217,434,35.7,783,64.3,421,34.6,743,61.1,53,4.4,847,69.6,215,17.7,18,1.5,15,1.2,51,4.2,45,3.7,9,0.7,493,40.5,80,6.6,52,4.3,65,5.3,69,5.7,20,1.6,0,0.0,0,0.0,0,0.0,0,0.0,202,16.6,29,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.7,0,0.0,0,0.0
2014,1,906,310,34.2,596,65.8,333,36.8,511,56.4,62,6.8,609,67.2,136,15.0,43,4.7,58,6.4,32,3.5,25,2.8,1,0.1,416,45.9,69,7.6,22,2.4,29,3.2,49,5.4,18,2.0,0,0.0,0,0.0,0,0.0,0,0.0,120,13.2,22,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,1,806,247,30.6,559,69.4,248,30.8,512,63.5,46,5.7,562,69.7,120,14.9,36,4.5,14,1.7,21,2.6,45,5.6,5,0.6,390,48.4,31,3.8,35,4.3,30,3.7,47,5.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,118,14.6,19,2.4,0,0.0,0,0.0,0,0.0,16,2.0,14,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,1,872,295,33.8,577,66.2,289,33.1,526,60.3,57,6.5,627,71.9,106,12.2,21,2.4,59,6.8,23,2.6,31,3.6,4,0.5,483,55.4,49,5.6,33,3.8,36,4.1,19,2.2,0,0.0,0,0.0,0,0.0,11,1.3,0,0.0,103,11.8,19,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,1,649,211,32.5,438,67.5,194,29.9,430,66.3,25,3.9,491,75.7,60,9.2,53,8.2,18,2.8,7,1.1,17,2.6,3,0.5,378,58.2,34,5.2,25,3.9,13,2.0,32,4.9,10,1.5,0,0.0,0,0.0,0,0.0,0,0.0,64,9.9,10,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,1,1169,395,33.8,774,66.2,413,35.3,665,56.9,91,7.8,863,73.8,111,9.5,86,7.4,29,2.5,10,0.9,65,5.6,1,0.1,798,68.3,42,3.6,65,5.6,14,1.2,44,3.8,16,1.4,0,0.0,0,0.0,0,0.0,14,1.2,60,5.1,11,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,1,520,177,34.0,343,66.0,171,32.9,325,62.5,24,4.6,417,80.2,30,5.8,21,4.0,24,4.6,5,1.0,21,4.0,0,0.0,273,52.5,39,7.5,35,6.7,9,1.7,18,3.5,16,3.1,0,0.0,0,0.0,0,0.0,6,1.2,51,9.8,21,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,1,306,95,31.0,211,69.0,99,32.4,188,61.4,19,6.2,240,78.4,28,9.2,11,3.6,4,1.3,1,0.3,18,5.9,2,0.7,159,52.0,15,4.9,34,11.1,8,2.6,8,2.6,0,0.0,0,0.0,0,0.0,0,0.0,6,2.0,11,3.6,13,4.2,7,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,1,350,98,28.0,252,72.0,99,28.3,231,66.0,20,5.7,294,84.0,17,4.9,15,4.3,13,3.7,0,0.0,11,3.1,0,0.0,182,52.0,18,5.1,33,9.4,26,7.4,9,2.6,11,3.1,0,0.0,0,0.0,0,0.0,0,0.0,6,1.7,8,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,1,314,82,26.1,232,73.9,86,27.4,210,66.9,18,5.7,251,79.9,27,8.6,13,4.1,3,1.0,1,0.3,15,4.8,2,0.6,185,58.9,19,6.1,18,5.7,0,0.0,0,0.0,15,4.8,9,2.9,0,0.0,0,0.0,0,0.0,0,0.0,10,3.2,6,1.9,0,0.0,0,0.0,0,0.0,6,1.9,0,0.0,0,0.0,6,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,1,269,73,27.1,196,72.9,86,32.0,174,64.7,9,3.3,226,84.0,21,7.8,8,3.0,1,0.4,3,1.1,9,3.3,1,0.4,164,61.0,16,5.9,6,2.2,18,6.7,4,1.5,14,5.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,4.5,5,1.9,0,0.0,0,0.0,4,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,1,696,204,29.3,492,70.7,221,31.8,415,59.6,60,8.6,609,87.5,25,3.6,16,2.3,0,0.0,5,0.7,26,3.7,0,0.0,584,83.9,13,1.9,14,2.0,13,1.9,8,1.1,10,1.4,0,0.0,0,0.0,0,0.0,5,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,1.7,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,,,,
2016,2,1733,620,35.8,1113,64.2,709,40.9,891,51.4,133,7.7,1195,69.0,286,16.5,40,2.3,38,2.2,117,6.8,40,2.3,5,0.3,689,39.8,86,5.0,84,4.8,42,2.4,259,14.9,0,0.0,0,0.0,36,2.1,0,0.0,0,0.0,249,14.4,33,1.9,0,0.0,0,0.0,0,0.0,0,0.0,34,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2015,2,1544,593,38.4,951,61.6,799,51.7,672,43.5,73,4.7,1129,73.1,244,15.8,54,3.5,24,1.6,23,1.5,61,4.0,6,0.4,667,43.2,49,3.2,54,3.5,43,2.8,233,15.1,0,0.0,0,0.0,80,5.2,0,0.0,0,0.0,146,9.5,26,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.4,0,0.0,0,0.0,0,0.0,0,0.0
2014,2,970,347,35.8,623,64.2,431,44.4,452,46.6,87,9.0,679,70.0,114,11.8,35,3.6,27,2.8,22,2.3,92,9.5,1,0.1,495,51.0,34,3.5,42,4.3,22,2.3,27,2.8,22,2.3,0,0.0,76,7.8,0,0.0,0,0.0,100,10.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,2,1382,509,36.8,873,63.2,716,51.8,613,44.4,53,3.8,946,68.5,258,18.7,36,2.6,24,1.7,24,1.7,87,6.3,4,0.3,604,43.7,26,1.9,55,4.0,34,2.5,284,20.5,24,1.7,0,0.0,76,5.5,0,0.0,0,0.0,94,6.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,2,1305,484,37.1,821,62.9,584,44.8,653,50.0,68,5.2,901,69.0,251,19.2,32,2.5,45,3.4,23,1.8,50,3.8,0,0.0,587,45.0,23,1.8,62,4.8,19,1.5,322,24.7,19,1.5,34,2.6,0,0.0,0,0.0,0,0.0,55,4.2,26,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,2,820,262,32.0,558,68.0,343,41.8,438,53.4,39,4.8,628,76.6,88,10.7,27,3.3,24,2.9,12,1.5,36,4.4,2,0.2,520,63.4,19,2.3,47,5.7,17,2.1,41,5.0,17,2.1,0,0.0,0,0.0,0,0.0,0,0.0,49,6.0,16,2.0,0,0.0,0,0.0,0,0.0,0,0.0,13,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,2,1640,531,32.4,1109,67.6,659,40.2,898,54.8,83,5.1,1255,76.5,228,13.9,43,2.6,42,2.6,27,1.6,44,2.7,0,0.0,1068,65.1,45,2.7,66,4.0,18,1.1,222,13.5,20,1.2,0,0.0,0,0.0,0,0.0,0,0.0,28,1.7,21,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,2,681,213,31.3,468,68.7,309,45.4,338,49.6,34,5.0,497,73.0,100,14.7,17,2.5,13,1.9,11,1.6,37,5.4,0,0.0,307,45.1,22,3.2,48,7.0,8,1.2,173,25.4,27,4.0,0,0.0,0,0.0,9,1.3,0,0.0,9,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,2,703,217,30.9,486,69.1,350,49.8,331,47.1,22,3.1,552,78.5,97,13.8,12,1.7,10,1.4,4,0.6,28,4.0,0,0.0,345,49.1,20,2.8,40,5.7,0,0.0,137,19.5,37,5.3,0,0.0,0,0.0,0,0.0,0,0.0,9,1.3,14,2.0,11,1.6,0,0.0,10,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,2,666,247,37.1,419,62.9,322,48.3,320,48.0,24,3.6,499,74.9,90,13.5,45,6.8,5,0.8,5,0.8,20,3.0,1,0.2,316,47.4,15,2.3,32,4.8,12,1.8,167,25.1,9,1.4,0,0.0,19,2.9,9,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,2,351,126,35.9,225,64.1,167,47.6,166,47.3,18,5.1,285,81.2,33,9.4,13,3.7,0,0.0,8,2.3,11,3.1,1,0.3,244,69.5,9,2.6,23,6.6,7,2.0,12,3.4,6,1.7,8,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.4,5,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,2,558,230,41.2,328,58.8,219,39.2,316,56.6,23,4.1,472,84.6,54,9.7,6,1.1,3,0.5,3,0.5,19,3.4,0,0.0,385,69.0,8,1.4,26,4.7,0,0.0,64,11.5,18,3.2,4,0.7,0,0.0,0,0.0,5,0.9,0,0.0,6,1.1,0,0.0,0,0.0,0,0.0,0,0.0,13,2.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,2,1404,494,35.2,910,64.8,718,51.1,636,45.3,50,3.6,1127,80.3,178,12.7,41,2.9,0,0.0,34,2.4,20,1.4,0,0.0,1145,81.6,7,0.5,32,2.3,13,0.9,58,4.1,21,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.6,0,0.0,0,0.0,0,0.0,31,2.2,0,0.0,0,0.0,0,0.0
,,,,,,,,,
2016,3,11067,5251,47.4,5816,52.6,4858,43.9,5427,49.0,782,7.1,7006,63.3,2243,20.3,321,2.9,416,3.8,507,4.6,530,4.8,15,0.1,6832,61.7,247,2.2,819,7.4,284,2.6,885,8.0,0,0.0,163,1.5,329,3.0,0,0.0,0,0.0,114,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,120,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2015,3,5080,2248,44.3,2832,55.7,2436,48.0,2229,43.9,415,8.2,3417,67.3,921,18.1,132,2.6,218,4.3,148,2.9,199,3.9,33,0.6,2891,56.9,151,3.0,437,8.6,183,3.6,449,8.8,0,0.0,80,1.6,59,1.2,0,0.0,0,0.0,110,2.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,60,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,3,3150,1191,37.8,1959,62.2,1136,36.1,1713,54.4,301,9.6,2087,66.3,610,19.4,102,3.2,67,2.1,121,3.8,145,4.6,10,0.3,1529,48.5,95,3.0,402,12.8,149,4.7,273,8.7,57,1.8,59,1.9,0,0.0,0,0.0,0,0.0,63,2.0,54,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,3,7229,3358,46.5,3871,53.5,3209,44.4,3570,49.4,450,6.2,4707,65.1,1487,20.6,200,2.8,182,2.5,316,4.4,298,4.1,28,0.4,4439,61.4,139,1.9,455,6.3,237,3.3,808,11.2,73,1.0,114,1.6,72,1.0,0,0.0,0,0.0,71,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,3,3260,1254,38.5,2006,61.5,1336,41.0,1614,49.5,310,9.5,2196,67.4,596,18.3,119,3.7,116,3.6,51,1.6,176,5.4,1,0.0,1732,53.1,111,3.4,327,10.0,112,3.4,229,7.0,90,2.8,58,1.8,93,2.9,0,0.0,0,0.0,49,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,3,3024,1111,36.7,1913,63.3,1272,42.1,1576,52.1,176,5.8,1911,63.2,605,20.0,80,2.6,79,2.6,41,1.4,283,9.4,7,0.2,1534,50.7,77,2.5,245,8.1,79,2.6,597,19.7,46,1.5,34,1.1,87,2.9,0,0.0,0,0.0,38,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,3,5882,2421,41.2,3461,58.8,2289,38.9,3108,52.8,485,8.2,4014,68.2,850,14.5,281,4.8,144,2.4,180,3.1,391,6.6,7,0.1,4648,79.0,63,1.1,325,5.5,63,1.1,168,2.9,61,1.0,45,0.8,93,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40,0.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,3,1808,605,33.5,1203,66.5,656,36.3,983,54.4,169,9.3,1393,77.0,157,8.7,49,2.7,60,3.3,16,0.9,112,6.2,10,0.6,1108,61.3,72,4.0,230,12.7,45,2.5,43,2.4,42,2.3,22,1.2,36,2.0,0,0.0,0,0.0,0,0.0,0,0.0,29,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,3,5328,2304,43.2,3024,56.8,2313,43.4,2732,51.3,283,5.3,3793,71.2,621,11.7,268,5.0,197,3.7,78,1.5,293,5.5,37,0.7,3635,68.2,61,1.1,426,8.0,125,2.3,485,9.1,40,0.8,0,0.0,61,1.1,0,0.0,0,0.0,0,0.0,48,0.9,66,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,3,1680,623,37.1,1057,62.9,812,48.3,735,43.8,133,7.9,1405,83.6,126,7.5,58,3.5,14,0.8,22,1.3,40,2.4,1,0.1,1005,59.8,47,2.8,223,13.3,50,3.0,59,3.5,29,1.7,24,1.4,32,1.9,0,0.0,0,0.0,0,0.0,22,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,3,1093,385,35.2,708,64.8,493,45.1,532,48.7,68,6.2,942,86.2,60,5.5,39,3.6,7,0.6,5,0.5,37,3.4,1,0.1,555,50.8,31,2.8,109,10.0,16,1.5,118,10.8,40,3.7,49,4.5,0,0.0,27,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,3,3128,1251,40.0,1877,60.0,1682,53.8,1354,43.3,92,2.9,2426,77.6,302,9.7,129,4.1,31,1.0,57,1.8,130,4.2,3,0.1,2185,69.9,88,2.8,193,6.2,57,1.8,200,6.4,38,1.2,42,1.3,44,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,42,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,3,3105,1267,40.8,1838,59.2,1264,40.7,1654,53.3,187,6.0,2349,75.7,411,13.2,103,3.3,0,0.0,141,4.5,92,3.0,0,0.0,2695,86.8,20,0.6,114,3.7,30,1.0,22,0.7,23,0.7,31,1.0,0,0.0,18,0.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,,,,
2016,4,15103,7074,46.8,8029,53.2,3565,23.6,8429,55.8,3109,20.6,9554,63.3,3316,22.0,533,3.5,499,3.3,470,3.1,700,4.6,10,0.1,5136,34.0,951,6.3,1559,10.3,679,4.5,1511,10.0,666,4.4,561,3.7,651,4.3,0,0.0,0,0.0,433,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2015,4,17722,8536,48.2,9186,51.8,5090,28.7,9966,56.2,2666,15.0,11433,64.5,3450,19.5,666,3.8,700,3.9,670,3.8,746,4.2,30,0.2,8728,49.2,663,3.7,1508,8.5,684,3.9,1237,7.0,538,3.0,468,2.6,532,3.0,0,0.0,0,0.0,342,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,4,17346,8024,46.3,9322,53.7,5701,32.9,9532,55.0,2113,12.2,11383,65.6,3550,20.5,593,3.4,466,2.7,509,2.9,799,4.6,29,0.2,8246,47.5,973,5.6,1257,7.2,588,3.4,1833,10.6,528,3.0,334,1.9,686,4.0,0,0.0,0,0.0,270,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,4,11533,4944,42.9,6589,57.1,2988,25.9,6646,57.6,1899,16.5,7831,67.9,2043,17.7,466,4.0,392,3.4,223,1.9,535,4.6,33,0.3,4478,38.8,487,4.2,1201,10.4,549,4.8,1281,11.1,398,3.5,315,2.7,511,4.4,184,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,4,14751,6489,44.0,8262,56.0,4738,32.1,8200,55.6,1813,12.3,9749,66.1,2705,18.3,615,4.2,434,2.9,327,2.2,866,5.9,27,0.2,7332,49.7,512,3.5,1325,9.0,385,2.6,1591,10.8,593,4.0,277,1.9,276,1.9,173,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
